,Mobile Name,Rating,Short Description,Dicount Price,Actual Price,% Off,Link,Img link
0,"POCO M3 (Power Black, 64 GB)",4.3,"6 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) Full HD+ Display
48MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Lithium-ion Polymer Battery
Qualcomm Snapdragon 662 Processor
One Year Warranty for Handset, 6 Months for Accessories","₹11,499","₹12,999",11% off,https://www.flipkart.com/poco-m3-power-black-64-gb/p/itmb49cc10841be2?pid=MOBFZTCUTAYPJHHR&lid=LSTMOBFZTCUTAYPJHHRJV1LYX&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBFZTCUTAYPJHHR.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kklhbbk0/mobile/m/s/f/m3-mzb0879in-poco-original-imafzxf686qtxq2x.jpeg?q=70
1,"realme C21 (Cross Black, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹9,499","₹10,999",13% off,https://www.flipkart.com/realme-c21-cross-black-64-gb/p/itmf4062d3f37c1a?pid=MOBGF489G9HRWFZ9&lid=LSTMOBGF489G9HRWFZ9BYFZCR&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF489G9HRWFZ9.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/q/j/x/c21-rmx3201-realme-original-imagfxfwbszrxkvu.jpeg?q=70
2,"realme C21 (Cross Blue, 64 GB)",4.4,"4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹9,499","₹10,999",13% off,https://www.flipkart.com/realme-c21-cross-blue-64-gb/p/itmf4062d3f37c1a?pid=MOBGF4895YRNAHFZ&lid=LSTMOBGF4895YRNAHFZ3XABXU&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF4895YRNAHFZ.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/g/r/g/c21-rmx3201-realme-original-imagfxfwn9aryyda.jpeg?q=70
3,"realme C21 (Cross Black, 32 GB)",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹8,499","₹9,999",15% off,https://www.flipkart.com/realme-c21-cross-black-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489EUA5PEBK&lid=LSTMOBGF489EUA5PEBKOSO80O&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF489EUA5PEBK.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/q/j/x/c21-rmx3201-realme-original-imagfxfwbszrxkvu.jpeg?q=70
4,"realme C21 (Cross Blue, 32 GB)",4.4,"3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
13MP + 2MP + 2MP | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹8,499","₹9,999",15% off,https://www.flipkart.com/realme-c21-cross-blue-32-gb/p/itmf4062d3f37c1a?pid=MOBGF489MNZGABVJ&lid=LSTMOBGF489MNZGABVJ28ZM4B&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF489MNZGABVJ.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/g/r/g/c21-rmx3201-realme-original-imagfxfwn9aryyda.jpeg?q=70
5,"REDMI 9i (Midnight Black, 64 GB)",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP Rear Camera | 5MP Front Camera
5000 mAh Lithium Polymer Battery
MediaTek Helio G25 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,499","₹9,999",15% off,https://www.flipkart.com/redmi-9i-midnight-black-64-gb/p/itm0e1018dac2627?pid=MOBFV8RYKWQ3HACE&lid=LSTMOBFV8RYKWQ3HACEV2QOWQ&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBFV8RYKWQ3HACE.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/h/p/q/redmi-9i-mzb0814in-original-imafvehkgzghyqtp.jpeg?q=70
6,"REDMI 9 Power (Mighty Black, 64 GB)",4.3,"4 GB RAM | 64 GB ROM
16.59 cm (6.53 inch) Full HD+ Display
48MP + 8MP + 2MP + 2MP | 8MP Front Camera
6000 mAh Battery
Qualcomm Snapdragon 662 Processor
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase","₹10,999","₹13,999",21% off,https://www.flipkart.com/redmi-9-power-mighty-black-64-gb/p/itm481ab234a6553?pid=MOBFYZ94UWPWQRNF&lid=LSTMOBFYZ94UWPWQRNFD8SF5T&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBFYZ94UWPWQRNF.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kj0bp8w0-0/mobile/d/e/1/9-power-mobhqab1-redmi-original-imafyz93hghvjkmu.jpeg?q=70
7,"REDMI 9i (Nature Green, 64 GB)",4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.59 cm (6.53 inch) HD+ Display
13MP Rear Camera | 5MP Front Camera
5000 mAh Lithium Polymer Battery
MediaTek Helio G25 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","₹8,499","₹9,999",15% off,https://www.flipkart.com/redmi-9i-nature-green-64-gb/p/itm2e2fcd7b3eb7b?pid=MOBFV8RYNA4FVEH7&lid=LSTMOBFV8RYNA4FVEH7GEI6Y9&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBFV8RYNA4FVEH7.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/u/h/m/redmi-9i-mzb0818in-original-imafveh4xva2fes2.jpeg?q=70
8,"realme C20 (Cool Grey, 32 GB)",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹7,499","₹7,999",6% off,https://www.flipkart.com/realme-c20-cool-grey-32-gb/p/itmea1903897436b?pid=MOBGF489SQZCFHYA&lid=LSTMOBGF489SQZCFHYAGB7SDS&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF489SQZCFHYA.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/7/9/u/c20-rmx3063-realme-original-imagfxfzjrkqtbhe.jpeg?q=70
9,"realme C20 (Cool Blue, 32 GB)",4.4,"2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
8MP Rear Camera | 5MP Front Camera
5000 mAh Battery
MediaTek Helio G35 Processor
1 Year Warranty for Mobile and 6 Months for Accessories","₹7,499","₹7,999",6% off,https://www.flipkart.com/realme-c20-cool-blue-32-gb/p/itmea1903897436b?pid=MOBGF4894MEWZJGV&lid=LSTMOBGF4894MEWZJGVW425N5&marketplace=FLIPKART&q=Mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=b94a94f6-4c54-463f-91e1-2929896140e9.MOBGF4894MEWZJGV.SEARCH&ppt=hp&ppn=homepage&ssid=l391nhzbkg0000001628958526331&qH=ae068f9324d0df60,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/mobile/w/h/q/c20-rmx3063-realme-original-imagfxfzay72jqvh.jpeg?q=70
